filename,width,height,class,xmin,ymin,xmax,ymax
suggested-sfSDFtW69O37Qnss5xAi_jpg.rf.6429e235b43eb3d8ac977173d9c238c0.jpg,640,640,level 2,59,429,479,640
air-kotor-ilustrasi-_141204105807-141-1-_jpg.rf.5e9e8b3295ad6761dfe43a6a8b35414a.jpg,640,640,level 4,131,145,479,527
VID_20240614_164628_mp4-0010_jpg.rf.62d586e692a70701689a13670f533c08.jpg,640,640,level 2,150,96,520,622
air-ember-mandi-freepik_1693967999_webp.rf.6f62afd046f0049b56eab7bdd36d68a2.jpg,640,640,level 2,216,291,537,452
Copy-of-Suasana-air-laut-pasang-di-Kenjeran-Surabaya_jpg.rf.a0fdd1ce83c89ab5938308d92c0e0491.jpg,640,640,level 4,0,329,640,640
VID_20240614_164628_mp4-0010_jpg.rf.ce11f53f3a95d51ec61e0a52928f141f.jpg,640,640,level 2,150,96,520,622
suggested-5y85crAhetp9mitRYRwQ_jpg.rf.8101032af670b03e73f36ca2a2381eac.jpg,640,640,level 4,19,296,640,640
VID_20240614_164628_mp4-0003_jpg.rf.09b807aa8dea1ce10b47bed07043fa78.jpg,640,640,level 2,174,96,503,520
Copy-of-745x489-img-97229-ikan-di-selokan-jernih_jpg.rf.fdee45d242f4bfeae0b36e53dbb14db5.jpg,640,640,level 2,231,18,614,640
VID_20240614_164506_mp4-0016_jpg.rf.37622602ab284c53fbd249dda3be9740.jpg,640,640,level 2,190,106,500,640
suggested-wnSwfhaiyxEUwvAIThWc_jpg.rf.792e43d5000b8ef78211f08d5712bfcd.jpg,640,640,level 4,40,313,640,638
suggested-hfkDvn2QN5tFbDTTBiVy_jpg.rf.828626a93bb5e0758df0dc54a792702f.jpg,640,640,level 4,0,327,640,640
IMG_20240614_164621_jpg.rf.5966e83de1ad6e6439b2ae54431d0cc7.jpg,640,640,level 2,223,98,510,586
suggested-Nj3kEm7hYBK7KL23H4HN_jpg.rf.f31e14261b0c3448ffc2b3a1ee0c551b.jpg,640,640,level 1,36,439,624,611
my-pond-recently-started-getting-extremely-cloudy-its-v0-sngr3uddkpx81_webp.rf.4dd389ae87f42d26b75dcb38793121f0.jpg,640,640,level 3,31,149,476,541
suggested-TX6fXKZBaD0mOnESaNYG_jpg.rf.e03688afc5b6bd8a9268d8b98bc37952.jpg,640,640,level 4,0,384,640,640
VID_20240614_164506_mp4-0001_jpg.rf.e76906cd95f3d10b292f953bb3df26cc.jpg,640,640,level 2,171,111,539,623
suggested-2cS8leDgExRXX7oyKzRX_jpg.rf.76e13156e65bd680b2fcf5ef5d142b62.jpg,640,640,level 4,0,347,640,640
Copy-of-qnyfbcaoczvhth71ttg4_jpg.rf.3b196c9d600dc17205d8fd3518b675d3.jpg,640,640,level 1,21,212,366,536
i_mp4-0005_jpg.rf.69d2a6a7d74892189ae944dfbed5523b.jpg,640,640,level 3,0,440,354,622
VID_20240614_164628_mp4-0006_jpg.rf.c8862ae43842877886b3819777ef5c45.jpg,640,640,level 2,153,61,507,618
budidaya-ikan-patin-dengan-kolam-tembok-beton-awet-dan-tahan-lama-25_jpg.rf.e9972db25cc789ea6fb5633fbafa130d.jpg,640,640,level 4,140,135,617,480
s_mp4-0000_jpg.rf.10571d496d240f05f1d4b36659f4a137.jpg,640,640,level 2,8,201,640,440
suggested-dv34CeDG6hURPc6YUulz_jpg.rf.209596ebd63b106ceb00ae66075d70e4.jpg,640,640,level 2,34,333,640,617
E0364pQXMAEk6Ey_jpg.rf.e7aa20f705f80de40d18e6c6a2668789.jpg,640,640,level 3,34,73,245,640
E0364pQXMAEk6Ey_jpg.rf.e7aa20f705f80de40d18e6c6a2668789.jpg,640,640,level 3,283,25,492,636
suggested-U0pdYkwczDGdNRO9JkZX_jpg.rf.df7474cd0f0ae259a4c14285db92b22d.jpg,640,640,level 1,39,385,313,566
a_mp4-0013_jpg.rf.345f0a8e9857b16587792b4dc764cffa.jpg,640,640,level 3,73,172,640,487
IMG_20240614_164146_jpg.rf.5cae898ecdbd0a5dd85803faa9aab644.jpg,640,640,level 4,270,226,527,352
